mid,pset1,pset2,pset3,pset4,pset5,pset6,q1,q1,q2,q3,q4,q5,q6,midtermRaw,finalRaw,TotalPoints,psetTotal,quizTotal,recitationTotal,midterm,FinalExam,CourseGrade
W3,,,,0,0,,,,,,,,,28,,7.909090909,0,0,0.909090909,7,0,W
W3,24,,,0,0,,2,6,,,,,,,,3.738181818,1.92,0,1.818181818,0,0,F
W3,,,,0,0,,,,,,,,,12,,3,0,0,0,3,0,F
70,49,33,32,45,41.67,43,9,13,2,8,11,3,19,45.5,62,72.22261905,16.93333333,16.2,10,11.375,17.71428571,B
32,37,21,25,41.67,30,46,12,16,15,14,20,9,20,58,60.5,81.65904762,14.37333333,25.5,10,14.5,17.28571429,B+
85,40,32,37,41.67,0,,17,20,13,14,18,7,,68,32,67.69619048,12.05333333,19.5,10,17,9.142857143,C+
21,50,42,47,50,46.67,40,14,18,13,20,20,4.5,18,64.5,50.5,86.10690476,18.85333333,26.7,10,16.125,14.42857143,A
30,45,47,34,50,38.33,37,17,20,4,16,15,10.5,14,74,51,83.10809524,17.38666667,22.65,10,18.5,14.57142857,B+
104,44,47,36,43.33,25,38,,,9,12,15,10.5,3,52.5,35.5,62.06634199,16.66666667,13.95,8.181818182,13.125,10.14285714,C
96,20,,34,45,50,42.5,11,15,17,9,13,6,13.5,41.5,38,65.20214286,13.72,20.25,10,10.375,10.85714286,C+
12,49,48,50,45,41.67,42,16,20,17,18,17,7,16,75.5,64.5,92.42357143,18.72,26.4,10,18.875,18.42857143,A
61,38,31,40,41.67,0,44,16,20,16,11,16,,20,60,53.5,75.6408658,15.57333333,21.6,8.181818182,15,15.28571429,B
122,35,,,16.67,26.67,39,6,10,3,16,,6.5,7,23.5,26.5,40.62248918,8.053333333,11.85,7.272727273,5.875,7.571428571,C
31,48,39,41,45,45,50,14,20,13,20,20,7,4,56.5,59,82.39305195,18.32,24,9.090909091,14.125,16.85714286,B+
65,39,42,44,48.33,43.33,37,5,9,16,20,14,6.5,5,51.5,49.5,74.00119048,17.33333333,19.65,10,12.875,14.14285714,B
77,48,31,42,0,40,45,12,16,,7,14,7,16,48.5,62.5,70.54396104,16.48,15.9,8.181818182,12.125,17.85714286,B
14,47,45,50,50,48.33,50,18,20,14,20,20,8,20,77.5,58,91.95491342,19.62666667,28.2,8.181818182,19.375,16.57142857,A
88,41,30,26,48.33,41.67,45,10,14,12,9,14,14.5,20,43.5,33.5,67.45824675,16.48,22.35,8.181818182,10.875,9.571428571,C+
111,43,34,39,25,48.33,35,17,20,4,3,12,4,12,19,37.5,57.01095238,15.94666667,15.6,10,4.75,10.71428571,C
50,34,24,39,43.33,21.67,39,13,17,11,6,20,12,19,64.5,51.5,78.88595238,14.34666667,23.7,10,16.125,14.71428571,B
39,20,,41,50,20,49,16,20,10,20,20,16.5,19,53,56.5,79.93376623,12.8,28.65,9.090909091,13.25,16.14285714,B+
43,43,31,38,45,0,44,14,20,10,6,20,7.5,18,57.5,63.5,79.42967532,16.08,22.65,8.181818182,14.375,18.14285714,B+
82,34,36,47,50,39.17,25.5,11,15,,17,16,10,3,53.5,46,68.59300866,16.49333333,17.4,8.181818182,13.375,13.14285714,C+
13,49,49,48,50,46.67,45,17,20,18,20,18,,20,89,60,92.20619048,19.41333333,23.4,10,22.25,17.14285714,A
29,50,49,48,50,48.33,44,,20,9,17,19,13,20,61,40.5,83.14809524,19.62666667,26.7,10,15.25,11.57142857,A
W1,45,44,,0,0,,8,12,,,,,,,,9.847272727,7.12,0,2.727272727,0,0,W
120,43,31,0,0,0,,16,20,,20,20,,15,64,,45.37454545,5.92,18,5.454545455,16,0,W
