midterm,Finals,all
7,0,7.909090909
0,0,3.738181818
3,0,3
11.375,17.71428571,72.22261905
14.5,17.28571429,81.65904762
17,9.142857143,67.69619048
16.125,14.42857143,86.10690476
18.5,14.57142857,83.10809524
13.125,10.14285714,62.06634199
10.375,10.85714286,65.20214286
18.875,18.42857143,92.42357143
15,15.28571429,75.6408658
5.875,7.571428571,40.62248918
14.125,16.85714286,82.39305195
12.875,14.14285714,74.00119048
12.125,17.85714286,70.54396104
19.375,16.57142857,91.95491342
10.875,9.571428571,67.45824675
4.75,10.71428571,57.01095238
16.125,14.71428571,78.88595238
13.25,16.14285714,79.93376623
14.375,18.14285714,79.42967532
13.375,13.14285714,68.59300866
22.25,17.14285714,92.20619048
15.25,11.57142857,83.14809524
0,0,9.847272727
16,0,45.37454545
10.25,12.85714286,67.64714286
15.5,14.14285714,85.34952381
14.5,6.571428571,61.40233766
13.25,11.14285714,71.33619048
5.5,6,37.44606061
13.5,8.571428571,71.50233766
8.875,9.285714286,67.68071429
9.125,0,35.77530303
17.625,21.42857143,94.95357143
15.125,12.14285714,72.02725108
0,0,14.15454545
13.25,10.85714286,64.05835498
7.5,12.14285714,52.8374026
19.375,19.14285714,95.03785714
7.25,10.28571429,63.45844156
10.875,14.42857143,72.83448052
12,15.28571429,78.55238095
0,9.857142857,58.90714286
15.625,14.28571429,75.96101732
22.25,21.71428571,99.85277056
17.125,11.28571429,79.70162338
14.625,13.42857143,70.6902381
20.5,15.14285714,84.04134199
17.625,19.42857143,72.33296537
9,11.28571429,68.96753247
12,14.14285714,75.96285714
16.125,12.85714286,79.75305195
13.875,17.85714286,77.59335498
16.25,11.14285714,79.93952381
11.5,13.28571429,80.60571429
11.75,17.14285714,79.30376623
14.375,17,73.34166667
14,15.42857143,79.7552381
12.875,10.71428571,67.90928571
0,0,4.509090909
19,17.42857143,86.94614719
11.875,0,34.98409091
15.25,16.28571429,81.37753247
14.25,14.28571429,79.04904762
6.5,10.85714286,59.47047619
13.625,14.42857143,79.12538961
8.25,8.857142857,56.29562771
15.875,11.42857143,77.81448052
9.25,12.28571429,50.24722944
21.25,11.57142857,75.82324675
11.125,11.28571429,67.30829004
0,0,0
14.125,11.85714286,74.61487013
18.75,14.14285714,86.80376623
0,0,7.396363636
10.75,11.57142857,71.86142857
16.125,18.28571429,67.80041126
16.5,19.42857143,90.41705628
15.375,15.28571429,77.41768398
10.25,9.857142857,64.5465368
10.875,0,24.70227273
17.375,17,85.875
14.5,12.28571429,79.00571429
18.5,12.57142857,83.855671
10.25,12.85714286,69.66896104
21.5,18.14285714,97.47619048
7.875,7.571428571,46.21309524
12.125,0,12.125
16.75,15.85714286,86.73380952
12.5,12.42857143,73.82857143
16.875,13.14285714,81.62876623
7.875,12,65.58530303
13,9.142857143,66.16952381
14,12.42857143,79.14857143
9.5,13,69.96181818
12.625,9.142857143,64.99300866
14,14.85714286,64.22077922
13.25,16.85714286,75.23562771
17.75,16.57142857,88.02809524
9.25,5.571428571,39.83354978
19.75,20.85714286,94.22896104
9.875,12.85714286,66.87880952
15,15.71428571,81.18095238
17.125,10.28571429,65.67132035
16.25,10.14285714,60.95225108
9.625,9.714285714,50.81928571
18.5,20.42857143,83.92008658
9.125,8.571428571,51.97824675
10,10.57142857,31.50051948
15,9.857142857,70.35168831
21.75,17.57142857,95.15142857
5.25,2.571428571,46.10233766
12,0,12
21.375,18.14285714,97.56452381
12.5,7.857142857,61.76926407
10.75,12.28571429,64.40601732
13.25,5.714285714,44.47883117
11.875,12,71.22166667
17,17.14285714,81.51982684
8.125,12.42857143,65.21205628
11.375,15,78.08590909
19.125,20.28571429,97.85738095
20,13.85714286,65.45199134
13.125,18.28571429,77.26101732
5.5,9.571428571,50.76415584
21.125,18.85714286,92.95244589
13.125,15.57142857,76.6667316
17.75,15.28571429,85.31510823
15.875,16.28571429,83.70253247
11,11,61.0230303
19.25,19.71428571,95.37519481
13.75,15.57142857,78.96233766
8.625,8.285714286,63.12162338
18.625,17.14285714,94.34119048
20.875,13,89.00166667
15.25,11.14285714,74.41467532
